ID,Criterios de aceptación,Dependencias,Descripción de solución,Estado,Estimación,Fecha objetivo,Nombre,Prioridad,Sprint,Tipo,Área
BL-016,"Documento de dominio ecommerce publicado en Notion con entidades StoreConfig, Product, Category e Inventory y sus relaciones.",BL-015,"Definir modelo de dominio para instancia single-tenant (sin tenantId en codigo), reglas de negocio base y convenciones de datos.",Backlog,S,"March 3, 2026",Definir modelo de dominio ecommerce (single-instance),P0,S3,Task,Arquitecture
BL-017,"Modelo StoreConfig implementado con validaciones y estructura de tema (logo, colores, tipografia, bloques home).",BL-016,"Crear modelo Mongoose de configuracion de tienda por instancia para branding y datos publicos.",Backlog,M,"March 4, 2026",Crear modelo StoreConfig,P0,S3,Feature,Backend
BL-018,"Modelo Category implementado con slug unico, estado, orden e indices necesarios.",BL-016,"Crear modelo Category base para catalogo con validaciones y unicidad.",Backlog,S,"March 5, 2026",Crear modelo Category,P0,S3,Task,Backend
BL-019,"Modelo Product implementado con SKU/slug unicos, precio, estado, imagenes y referencia a categoria.",BL-016|BL-018,"Crear modelo Product orientado a ecommerce y reglas minimas de publicacion.",Backlog,M,"March 6, 2026",Crear modelo Product,P0,S3,Feature,Backend
BL-020,"Modelo Inventory implementado con stock disponible/reservado y reglas para evitar valores negativos.",BL-016|BL-019,"Crear modelo Inventory para control de existencias con trazabilidad basica.",Backlog,M,"March 7, 2026",Crear modelo Inventory,P0,S3,Feature,Backend
BL-021,"CRUD de categorias funcional con RBAC y validaciones; errores estandar para casos invalidos.",BL-018|BL-004|BL-006|BL-007,"Implementar endpoints de categorias (crear/listar/actualizar/eliminar) para roles administrativos.",Backlog,M,"March 9, 2026",Implementar CRUD de categorias (admin),P0,S4,Feature,Backend
BL-022,"CRUD de productos funcional con RBAC y validaciones; no permite payloads invalidos.",BL-019|BL-021|BL-004|BL-006|BL-007,"Implementar endpoints de productos (crear/listar/actualizar/eliminar) para administracion de catalogo.",Backlog,L,"March 10, 2026",Implementar CRUD de productos (admin),P0,S4,Feature,Backend
BL-023,"Endpoint de ajuste de inventario funcional con auditoria minima de actor y timestamp.",BL-020|BL-022,"Implementar ajuste de stock de productos (entrada/salida/ajuste) con controles de consistencia.",Backlog,M,"March 11, 2026",Implementar ajuste de inventario,P0,S4,Task,Backend
BL-024,"Endpoint publico de catalogo activo con filtros por categoria, busqueda, paginacion y orden.",BL-022,"Exponer API publica de catalogo para frontend-user con criterios de consulta.",Backlog,M,"March 12, 2026",Exponer catalogo publico con filtros,P0,S4,Feature,Backend
BL-025,"StoreConfig expone endpoint publico de tema y configuracion consumible por frontend.",BL-017,"Definir estrategia de tematizacion por instancia y exponer configuracion base para storefront.",Backlog,S,"March 13, 2026",Definir estrategia de temas por StoreConfig,P1,S4,Task,Backend
BL-026,"OpenAPI actualizado con endpoints de categorias, productos, inventario, catalogo y store-config.",BL-021|BL-022|BL-023|BL-024|BL-025,"Actualizar contrato de API para reflejar modulo ecommerce de semanas 3-4.",Backlog,M,"March 14, 2026",Actualizar OpenAPI para modulo catalogo,P0,S4,Task,Docs/API
BL-027,"Contratos en Notion actualizados con request/response y errores de endpoints nuevos.",BL-026,"Actualizar documento de contratos funcionales para consumo de frontend y QA.",Backlog,S,"March 14, 2026",Actualizar contratos para Notion (modulo catalogo),P1,S4,Task,Docs
BL-028,"Script de smoke tests ampliado para validar categorias/productos/inventario/catalogo publico.",BL-021|BL-022|BL-023|BL-024|BL-014,"Extender pruebas de regresion del backend para cubrir flujo de catalogo.",Backlog,M,"March 15, 2026",Extender smoke tests para modulo catalogo,P1,S4,Task,QA
BL-029,"Guia tecnica publicada con pasos de uso local, datos de ejemplo y flujo demostrable del modulo.",BL-026|BL-027,"Documentar operacion tecnica de modulo catalogo para desarrollo y onboarding.",Backlog,S,"March 15, 2026",Documentar guia tecnica del modulo catalogo,P1,S4,Task,Docs
BL-030,"Demo de cierre de sprint con evidencia funcional en OpenAPI/Postman y checklist de aceptacion completado.",BL-021|BL-022|BL-023|BL-024|BL-026|BL-028,"Preparar cierre de semanas 3-4 con evidencias y validacion final de entregables.",Backlog,S,"March 15, 2026",Cierre Sprint Semanas 3-4 (demo + checklist),P0,S4,Task,Product
